,id,url,primaryTitle,originalTitle,trailer,contentRating,startYear,releaseDate,interests,spokenLanguages,budget,grossWorldwide,genres,runtimeMinutes,averageRating,numVotes,company_1,company_2,company_3
81,tt0118688,https://www.imdb.com/title/tt0118688/,Batman & Robin,Batman & Robin,https://www.youtube.com/watch?v=vHoCb78b97A,PG-13,1997,1997-06-20,"['Superhero', 'Action', 'Sci-Fi']",['en'],125000000.0,238259753.0,"['Action', 'Sci-Fi']",125,3.8,275522,Warner Bros.,PolyGram Filmed Entertainment,
82,tt0499487,https://www.imdb.com/title/tt0499487/,Goal! III,Goal III: Taking on the World,https://www.youtube.com/watch?v=kHthPPB7_zA,PG-13,2009,2010-02-03,"['Soccer', 'Drama', 'Romance', 'Sport']",['en'],10000000.0,7641.0,"['Drama', 'Romance', 'Sport']",96,3.2,13381,Milkshake Films,Goal 3,
83,tt0085750,https://www.imdb.com/title/tt0085750/,Jaws 3-D,Jaws 3-D,,PG,1983,1983-07-22,"['Monster Horror', 'Sea Adventure', 'Adventure', 'Horror', 'Thriller']",['en'],20500000.0,87987055.0,"['Adventure', 'Horror', 'Thriller']",99,3.7,50308,Universal Pictures,Alan Landsburg Productions,MCA Theatricals
84,tt0372873,https://www.imdb.com/title/tt0372873/,Dragon Wars: D-War,D-War,https://www.youtube.com/watch?v=LbF4DtgO_yY,PG-13,2007,2007-09-14,"['Action', 'Drama', 'Fantasy', 'Thriller']","['en', 'ko']",32000000.0,75108817.0,"['Action', 'Drama', 'Fantasy']",107,3.5,25686,CJ Entertainment,Showbox Entertainment,Younggu-Art Movies
85,tt0094074,https://www.imdb.com/title/tt0094074/,Superman IV: The Quest for Peace,Superman IV: The Quest for Peace,https://www.youtube.com/watch?v=J3IFSj4ebwU,PG,1987,1987-07-24,"['Quest', 'Superhero', 'Action', 'Adventure', 'Sci-Fi']","['en', 'ru', 'fr', 'it']",17000000.0,30281020.0,"['Action', 'Adventure', 'Sci-Fi']",90,3.7,55234,Cannon Films,Warner Bros.,Golan-Globus Productions
86,tt0190374,https://www.imdb.com/title/tt0190374/,Dungeons & Dragons,Dungeons & Dragons,https://www.youtube.com/watch?v=BBA3BrDJnM0,PG-13,2000,2000-12-08,"['Action', 'Adventure', 'Fantasy']",['en'],45000000.0,33978694.0,"['Action', 'Adventure', 'Fantasy']",107,3.7,37165,New Line Cinema,Sweetpea Entertainment,Silver Pictures
87,tt0095560,https://www.imdb.com/title/tt0095560/,Mac and Me,Mac and Me,https://www.youtube.com/watch?v=2xGVQBJ2MmM,PG,1988,1988-08-12,"['Space Sci-Fi', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",['en'],13000000.0,6424112.0,"['Adventure', 'Comedy', 'Family']",99,3.4,15131,Mac and Me Joint Venture,,
88,tt1411664,https://www.imdb.com/title/tt1411664/,Bucky Larson: Born to Be a Star,Bucky Larson: Born to Be a Star,https://www.youtube.com/watch?v=cRT93a8xE5s,R,2011,2011-09-09,"['Raunchy Comedy', 'Comedy']",['en'],10000000.0,2530394.0,['Comedy'],97,3.3,13224,Columbia Pictures,Happy Madison Productions,Miles Deep Producitons
89,tt0432291,https://www.imdb.com/title/tt0432291/,The Fog,The Fog,https://www.youtube.com/watch?v=ovNTb39_viI,PG-13,2005,2005-10-14,"['Supernatural Horror', 'Horror', 'Mystery']",['en'],18000000.0,46201432.0,"['Horror', 'Mystery']",100,3.7,40282,Revolution Studios,Debra Hill Productions,David Foster Productions
90,tt0450345,https://www.imdb.com/title/tt0450345/,The Wicker Man,The Wicker Man,https://www.youtube.com/watch?v=r86OlE7rlFc,PG-13,2006,2006-09-01,"['Folk Horror', 'Horror', 'Mystery', 'Thriller']",['en'],40000000.0,38806015.0,"['Horror', 'Mystery', 'Thriller']",102,3.8,73270,Warner Bros.,Alcon Entertainment,Millennium Films
91,tt0897361,https://www.imdb.com/title/tt0897361/,I Know Who Killed Me,I Know Who Killed Me,https://www.youtube.com/watch?v=KSZ98kUVQFo,R,2007,2007-07-27,"['Horror', 'Mystery', 'Thriller']",['en'],12000000.0,9669758.0,"['Horror', 'Mystery', 'Thriller']",105,3.6,31517,360 Pictures,,
92,tt3138104,https://www.imdb.com/title/tt3138104/,The Hungover Games,The Hungover Games,https://www.youtube.com/watch?v=_Qcf8TVX2zo,R,2014,2014-02-18,"['Dystopian Sci-Fi', 'Parody', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",['en'],,,"['Adventure', 'Comedy', 'Fantasy']",85,3.5,17556,Sense and Sensibility Ventures,Silver Nitrate,
93,tt1714203,https://www.imdb.com/title/tt1714203/,Piranha 3DD,Piranha 3DD,https://www.youtube.com/watch?v=emSMr6Xoqog,R,2012,2012-05-11,"['Comedy', 'Horror', 'Sci-Fi', 'Thriller']","['en', 'es']",5000000.0,8518634.0,"['Comedy', 'Horror', 'Sci-Fi']",83,3.8,46728,Dimension Films,Mark Canton Productions,Intellectual Properties Worldwide (I)
